study_accession	sample_accession	secondary_sample_accession	run_accession	sample_title
PRJEB13747	SAMEA3943379	ERS1130513	ERR1383105	Plate37.6
PRJEB13747	SAMEA3943518	ERS1130652	ERR1383106	Plate42.74
PRJEB13747	SAMEA3943725	ERS1130859	ERR1383107	Plate46.89
PRJEB13747	SAMEA3946374	ERS1133508	ERR1383108	PlateRedo1.92
PRJEB13747	SAMEA3943302	ERS1130436	ERR1383109	Plate36.45
PRJEB13747	SAMEA3943322	ERS1130456	ERR1383110	Plate36.81
PRJEB13747	SAMEA3944595	ERS1131729	ERR1383111	Plate14.5
PRJEB13747	SAMEA3943678	ERS1130812	ERR1383112	Plate46.54
PRJEB13747	SAMEA3944825	ERS1131959	ERR1383113	Plate17.75
PRJEB13747	SAMEA3943251	ERS1130385	ERR1383114	Plate35.84
PRJEB13747	SAMEA3944386	ERS1131520	ERR1383115	Plate10.48
PRJEB13747	SAMEA3945613	ERS1132747	ERR1383116	Plate29.75
PRJEB13747	SAMEA3945802	ERS1132936	ERR1383117	Plate31.2
PRJEB13747	SAMEA3945893	ERS1133027	ERR1383118	Plate32.60
PRJEB13747	SAMEA3945620	ERS1132754	ERR1383119	Plate29.8
PRJEB13747	SAMEA3944340	ERS1131474	ERR1383120	Low2.63
PRJEB13747	SAMEA3945576	ERS1132710	ERR1383121	Plate28.63
PRJEB13747	SAMEA3944304	ERS1131438	ERR1383122	Low2.49
PRJEB13747	SAMEA3943690	ERS1130824	ERR1383123	Plate46.27
PRJEB13747	SAMEA3943910	ERS1131044	ERR1383124	Plate39.18
PRJEB13747	SAMEA3943996	ERS1131130	ERR1383125	Plate41.33
PRJEB13747	SAMEA3944803	ERS1131937	ERR1383126	Plate17.18
PRJEB13747	SAMEA3945322	ERS1132456	ERR1383127	Plate25.81
PRJEB13747	SAMEA3945523	ERS1132657	ERR1383128	Plate27.52
PRJEB13747	SAMEA3945837	ERS1132971	ERR1383129	Plate31.31
PRJEB13747	SAMEA3943653	ERS1130787	ERR1383130	Plate45.53
PRJEB13747	SAMEA3943158	ERS1130292	ERR1383131	Plate34.2.47
PRJEB13747	SAMEA3945649	ERS1132783	ERR1383132	Plate29.53
PRJEB13747	SAMEA3943999	ERS1131133	ERR1383133	Plate41.42
PRJEB13747	SAMEA3943949	ERS1131083	ERR1383134	Plate39.29
PRJEB13747	SAMEA3945696	ERS1132830	ERR1383135	Plate30.7
PRJEB13747	SAMEA3943259	ERS1130393	ERR1383136	Plate36.41
PRJEB13747	SAMEA3944123	ERS1131257	ERR1383137	High1.44
PRJEB13747	SAMEA3943592	ERS1130726	ERR1383138	Plate45.57
PRJEB13747	SAMEA3946365	ERS1133499	ERR1383139	PlateRedo1.36
PRJEB13747	SAMEA3945861	ERS1132995	ERR1383140	Plate32.52
PRJEB13747	SAMEA3944757	ERS1131891	ERR1383141	Plate16.31
PRJEB13747	SAMEA3945145	ERS1132279	ERR1383142	Plate22.47
PRJEB13747	SAMEA3946124	ERS1133258	ERR1383143	Plate6.65
PRJEB13747	SAMEA3945844	ERS1132978	ERR1383144	Plate32.22
PRJEB13747	SAMEA3943258	ERS1130392	ERR1383145	Plate36.8
PRJEB13747	SAMEA3945118	ERS1132252	ERR1383146	Plate21.52
PRJEB13747	SAMEA3943960	ERS1131094	ERR1383147	Plate39.66
PRJEB13747	SAMEA3945215	ERS1132349	ERR1383148	Plate23.38
PRJEB13747	SAMEA3944469	ERS1131603	ERR1383149	Plate12.33
PRJEB13747	SAMEA3945189	ERS1132323	ERR1383150	Plate23.75
PRJEB13747	SAMEA3943305	ERS1130439	ERR1383151	Plate36.42
PRJEB13747	SAMEA3945719	ERS1132853	ERR1383152	Plate30.28
PRJEB13747	SAMEA3946194	ERS1133328	ERR1383153	Plate7.63
PRJEB13747	SAMEA3946168	ERS1133302	ERR1383154	Plate7.79
PRJEB13747	SAMEA3945663	ERS1132797	ERR1383155	Plate29.83
PRJEB13747	SAMEA3944754	ERS1131888	ERR1383156	Plate16.14
PRJEB13747	SAMEA3945882	ERS1133016	ERR1383157	Plate32.5
PRJEB13747	SAMEA3943908	ERS1131042	ERR1383158	Plate39.72
PRJEB13747	SAMEA3946226	ERS1133360	ERR1383159	Plate7.88
PRJEB13747	SAMEA3944875	ERS1132009	ERR1383160	Plate18.3
PRJEB13747	SAMEA3943664	ERS1130798	ERR1383161	Plate46.37
PRJEB13747	SAMEA3945999	ERS1133133	ERR1383162	Plate5.15
PRJEB13747	SAMEA3943435	ERS1130569	ERR1383163	Plate40.48
PRJEB13747	SAMEA3944354	ERS1131488	ERR1383164	Plate10.75
PRJEB13747	SAMEA3943325	ERS1130459	ERR1383165	Plate36.26
PRJEB13747	SAMEA3944863	ERS1131997	ERR1383166	Plate18.74
PRJEB13747	SAMEA3944296	ERS1131430	ERR1383167	Low2.23
PRJEB13747	SAMEA3943615	ERS1130749	ERR1383168	Plate45.40
PRJEB13747	SAMEA3943566	ERS1130700	ERR1383169	Plate44.50
PRJEB13747	SAMEA3944570	ERS1131704	ERR1383170	Plate13.2
PRJEB13747	SAMEA3943358	ERS1130492	ERR1383171	Plate37.63
PRJEB13747	SAMEA3943448	ERS1130582	ERR1383172	Plate40.24
PRJEB13747	SAMEA3943829	ERS1130963	ERR1383173	Plate38.68
PRJEB13747	SAMEA3945889	ERS1133023	ERR1383174	Plate32.33
PRJEB13747	SAMEA3945446	ERS1132580	ERR1383175	Plate26.64
PRJEB13747	SAMEA3945460	ERS1132594	ERR1383176	Plate26.13
PRJEB13747	SAMEA3945419	ERS1132553	ERR1383177	Plate26.6
PRJEB13747	SAMEA3946094	ERS1133228	ERR1383178	Plate6.24
PRJEB13747	SAMEA3944594	ERS1131728	ERR1383179	Plate14.17
PRJEB13747	SAMEA3943822	ERS1130956	ERR1383180	Plate38.51
PRJEB13747	SAMEA3946230	ERS1133364	ERR1383181	Plate7.60
PRJEB13747	SAMEA3945533	ERS1132667	ERR1383182	Plate28.68
PRJEB13747	SAMEA3943408	ERS1130542	ERR1383183	Plate40.58
PRJEB13747	SAMEA3944226	ERS1131360	ERR1383184	Low1.88
PRJEB13747	SAMEA3943798	ERS1130932	ERR1383185	Plate47.38
PRJEB13747	SAMEA3943953	ERS1131087	ERR1383186	Plate39.20
PRJEB13747	SAMEA3946394	ERS1133528	ERR1383187	PlateRedo3.7
PRJEB13747	SAMEA3943972	ERS1131106	ERR1383188	Plate41.8
PRJEB13747	SAMEA3945208	ERS1132342	ERR1383189	Plate23.17
PRJEB13747	SAMEA3943309	ERS1130443	ERR1383190	Plate36.37
PRJEB13747	SAMEA3944993	ERS1132127	ERR1383191	Plate20.58
PRJEB13747	SAMEA3944811	ERS1131945	ERR1383192	Plate17.39
PRJEB13747	SAMEA3943714	ERS1130848	ERR1383193	Plate46.49
PRJEB13747	SAMEA3943209	ERS1130343	ERR1383194	Plate35.48
PRJEB13747	SAMEA3945285	ERS1132419	ERR1383195	Plate24.11
PRJEB13747	SAMEA3946293	ERS1133427	ERR1383196	Plate9.2
PRJEB13747	SAMEA3945066	ERS1132200	ERR1383197	Plate21.75
PRJEB13747	SAMEA3944907	ERS1132041	ERR1383198	Plate18.94
PRJEB13747	SAMEA3944207	ERS1131341	ERR1383199	Low1.86
PRJEB13747	SAMEA3943701	ERS1130835	ERR1383200	Plate46.58
PRJEB13747	SAMEA3943856	ERS1130990	ERR1383201	Plate38.86
PRJEB13747	SAMEA3946247	ERS1133381	ERR1383202	Plate8.11
PRJEB13747	SAMEA3943488	ERS1130622	ERR1383203	Plate42.44
PRJEB13747	SAMEA3946222	ERS1133356	ERR1383204	Plate7.30
PRJEB13747	SAMEA3945665	ERS1132799	ERR1383205	Plate29.45
PRJEB13747	SAMEA3946028	ERS1133162	ERR1383206	Plate5.64
PRJEB13747	SAMEA3945645	ERS1132779	ERR1383207	Plate29.38
PRJEB13747	SAMEA3943428	ERS1130562	ERR1383208	Plate40.36
PRJEB13747	SAMEA3945008	ERS1132142	ERR1383209	Plate20.15
PRJEB13747	SAMEA3944782	ERS1131916	ERR1383210	Plate16.51
PRJEB13747	SAMEA3945239	ERS1132373	ERR1383211	Plate23.72
PRJEB13747	SAMEA3945605	ERS1132739	ERR1383212	Plate28.19
PRJEB13747	SAMEA3943290	ERS1130424	ERR1383213	Plate36.73
PRJEB13747	SAMEA3946369	ERS1133503	ERR1383214	PlateRedo1.85
PRJEB13747	SAMEA3944366	ERS1131500	ERR1383215	Plate10.20
PRJEB13747	SAMEA3946189	ERS1133323	ERR1383216	Plate7.48
PRJEB13747	SAMEA3943183	ERS1130317	ERR1383217	Plate34.2.5
PRJEB13747	SAMEA3943329	ERS1130463	ERR1383218	Plate37.86
PRJEB13747	SAMEA3946013	ERS1133147	ERR1383219	Plate5.57
PRJEB13747	SAMEA3945636	ERS1132770	ERR1383220	Plate29.27
PRJEB13747	SAMEA3946104	ERS1133238	ERR1383221	Plate6.90
PRJEB13747	SAMEA3945351	ERS1132485	ERR1383222	Plate25.35
PRJEB13747	SAMEA3944690	ERS1131824	ERR1383223	Plate15.59
PRJEB13747	SAMEA3944565	ERS1131699	ERR1383224	Plate13.57
PRJEB13747	SAMEA3943875	ERS1131009	ERR1383225	Plate38.47
PRJEB13747	SAMEA3945541	ERS1132675	ERR1383226	Plate28.8
PRJEB13747	SAMEA3943201	ERS1130335	ERR1383227	Plate35.75
PRJEB13747	SAMEA3944399	ERS1131533	ERR1383228	Plate10.15
PRJEB13747	SAMEA3944224	ERS1131358	ERR1383229	Low1.42
PRJEB13747	SAMEA3946175	ERS1133309	ERR1383230	Plate7.31
PRJEB13747	SAMEA3945024	ERS1132158	ERR1383231	Plate20.38
PRJEB13747	SAMEA3946110	ERS1133244	ERR1383232	Plate6.47
PRJEB13747	SAMEA3946308	ERS1133442	ERR1383233	Plate9.45
PRJEB13747	SAMEA3945602	ERS1132736	ERR1383234	Plate28.30
PRJEB13747	SAMEA3946100	ERS1133234	ERR1383235	Plate6.7
PRJEB13747	SAMEA3944931	ERS1132065	ERR1383236	Plate19.68
PRJEB13747	SAMEA3943799	ERS1130933	ERR1383237	Plate47.33
PRJEB13747	SAMEA3943223	ERS1130357	ERR1383238	Plate35.65
PRJEB13747	SAMEA3945765	ERS1132899	ERR1383239	Plate31.56
PRJEB13747	SAMEA3944377	ERS1131511	ERR1383240	Plate10.29
PRJEB13747	SAMEA3945883	ERS1133017	ERR1383241	Plate32.4
PRJEB13747	SAMEA3943128	ERS1130262	ERR1383242	Plate34.2.84
PRJEB13747	SAMEA3943468	ERS1130602	ERR1383243	Plate40.4
PRJEB13747	SAMEA3944928	ERS1132062	ERR1383244	Plate19.78
PRJEB13747	SAMEA3944827	ERS1131961	ERR1383245	Plate17.53
PRJEB13747	SAMEA3944058	ERS1131192	ERR1383246	Plate43.41
PRJEB13747	SAMEA3946229	ERS1133363	ERR1383247	Plate7.2
PRJEB13747	SAMEA3943962	ERS1131096	ERR1383248	Plate41.34
PRJEB13747	SAMEA3945470	ERS1132604	ERR1383249	Plate26.65
PRJEB13747	SAMEA3943526	ERS1130660	ERR1383250	Plate42.37
PRJEB13747	SAMEA3945487	ERS1132621	ERR1383251	Plate27.1
PRJEB13747	SAMEA3945111	ERS1132245	ERR1383252	Plate21.33
PRJEB13747	SAMEA3943602	ERS1130736	ERR1383253	Plate45.59
PRJEB13747	SAMEA3945284	ERS1132418	ERR1383254	Plate24.10
PRJEB13747	SAMEA3943503	ERS1130637	ERR1383255	Plate42.8
PRJEB13747	SAMEA3943247	ERS1130381	ERR1383256	Plate35.72
PRJEB13747	SAMEA3946150	ERS1133284	ERR1383257	Plate6.48
PRJEB13747	SAMEA3943886	ERS1131020	ERR1383258	Plate39.35
PRJEB13747	SAMEA3945804	ERS1132938	ERR1383259	Plate31.71
PRJEB13747	SAMEA3945498	ERS1132632	ERR1383260	Plate27.23
PRJEB13747	SAMEA3945582	ERS1132716	ERR1383261	Plate28.6
PRJEB13747	SAMEA3944264	ERS1131398	ERR1383262	Low1.13
PRJEB13747	SAMEA3945940	ERS1133074	ERR1383263	Plate33.57
PRJEB13747	SAMEA3946119	ERS1133253	ERR1383264	Plate6.79
PRJEB13747	SAMEA3943619	ERS1130753	ERR1383265	Plate45.35
PRJEB13747	SAMEA3945875	ERS1133009	ERR1383266	Plate32.78
PRJEB13747	SAMEA3944938	ERS1132072	ERR1383267	Plate19.76
PRJEB13747	SAMEA3946146	ERS1133280	ERR1383268	Plate6.51
PRJEB13747	SAMEA3944368	ERS1131502	ERR1383269	Plate10.87
PRJEB13747	SAMEA3945503	ERS1132637	ERR1383270	Plate27.26
PRJEB13747	SAMEA3943240	ERS1130374	ERR1383271	Plate35.13
PRJEB13747	SAMEA3944065	ERS1131199	ERR1383272	High1.16
PRJEB13747	SAMEA3943554	ERS1130688	ERR1383273	Plate44.39
PRJEB13747	SAMEA3945786	ERS1132920	ERR1383274	Plate31.37
PRJEB13747	SAMEA3946359	ERS1133493	ERR1383275	PlateRedo1.47
PRJEB13747	SAMEA3945509	ERS1132643	ERR1383276	Plate27.35
PRJEB13747	SAMEA3943628	ERS1130762	ERR1383277	Plate45.11
PRJEB13747	SAMEA3945806	ERS1132940	ERR1383278	Plate31.35
PRJEB13747	SAMEA3946337	ERS1133471	ERR1383279	Plate9.66
PRJEB13747	SAMEA3945240	ERS1132374	ERR1383280	Plate23.81
PRJEB13747	SAMEA3945485	ERS1132619	ERR1383281	Plate27.10
PRJEB13747	SAMEA3946386	ERS1133520	ERR1383282	PlateRedo1.26
PRJEB13747	SAMEA3944504	ERS1131638	ERR1383283	Plate13.66
PRJEB13747	SAMEA3943874	ERS1131008	ERR1383284	Plate38.35
PRJEB13747	SAMEA3943400	ERS1130534	ERR1383285	Plate40.29
PRJEB13747	SAMEA3945959	ERS1133093	ERR1383286	Plate34.12
PRJEB13747	SAMEA3945013	ERS1132147	ERR1383287	Plate20.21
PRJEB13747	SAMEA3944173	ERS1131307	ERR1383288	High2.86
PRJEB13747	SAMEA3945140	ERS1132274	ERR1383289	Plate22.20
PRJEB13747	SAMEA3943849	ERS1130983	ERR1383290	Plate38.37
PRJEB13747	SAMEA3943278	ERS1130412	ERR1383291	Plate36.24
PRJEB13747	SAMEA3944954	ERS1132088	ERR1383292	Plate19.69
PRJEB13747	SAMEA3945266	ERS1132400	ERR1383293	Plate24.67
PRJEB13747	SAMEA3943621	ERS1130755	ERR1383294	Plate45.33
PRJEB13747	SAMEA3945346	ERS1132480	ERR1383295	Plate25.86
PRJEB13747	SAMEA3943225	ERS1130359	ERR1383296	Plate35.49
PRJEB13747	SAMEA3943712	ERS1130846	ERR1383297	Plate46.52
PRJEB13747	SAMEA3945427	ERS1132561	ERR1383298	Plate26.50
PRJEB13747	SAMEA3943715	ERS1130849	ERR1383299	Plate46.47
PRJEB13747	SAMEA3946355	ERS1133489	ERR1383300	PlateRedo1.60
PRJEB13747	SAMEA3943242	ERS1130376	ERR1383301	Plate35.24
PRJEB13747	SAMEA3944967	ERS1132101	ERR1383302	Plate19.45
PRJEB13747	SAMEA3945395	ERS1132529	ERR1383303	Plate25.17
PRJEB13747	SAMEA3945168	ERS1132302	ERR1383304	Plate22.23
PRJEB13747	SAMEA3944208	ERS1131342	ERR1383305	Low1.74
PRJEB13747	SAMEA3945932	ERS1133066	ERR1383306	Plate33.35
PRJEB13747	SAMEA3945834	ERS1132968	ERR1383307	Plate31.13
PRJEB13747	SAMEA3946063	ERS1133197	ERR1383308	Plate5.1
PRJEB13747	SAMEA3944222	ERS1131356	ERR1383309	Low1.24
PRJEB13747	SAMEA3943693	ERS1130827	ERR1383310	Plate46.51
PRJEB13747	SAMEA3944586	ERS1131720	ERR1383311	Plate14.74
PRJEB13747	SAMEA3945089	ERS1132223	ERR1383312	Plate21.12
PRJEB13747	SAMEA3944817	ERS1131951	ERR1383313	Plate17.38
PRJEB13747	SAMEA3944526	ERS1131660	ERR1383314	Plate13.65
PRJEB13747	SAMEA3943146	ERS1130280	ERR1383315	Plate34.2.25
PRJEB13747	SAMEA3944659	ERS1131793	ERR1383316	Plate15.68
PRJEB13747	SAMEA3943927	ERS1131061	ERR1383317	Plate39.8
PRJEB13747	SAMEA3944263	ERS1131397	ERR1383318	Low1.39
PRJEB13747	SAMEA3945041	ERS1132175	ERR1383319	Plate21.15
PRJEB13747	SAMEA3945332	ERS1132466	ERR1383320	Plate25.7
PRJEB13747	SAMEA3945443	ERS1132577	ERR1383321	Plate26.74
PRJEB13747	SAMEA3944483	ERS1131617	ERR1383322	Plate12.44
PRJEB13747	SAMEA3945744	ERS1132878	ERR1383323	Plate30.84
PRJEB13747	SAMEA3943536	ERS1130670	ERR1383324	Plate44.34
PRJEB13747	SAMEA3943820	ERS1130954	ERR1383325	Plate38.32
PRJEB13747	SAMEA3945823	ERS1132957	ERR1383326	Plate31.45
PRJEB13747	SAMEA3944077	ERS1131211	ERR1383327	High1.41
PRJEB13747	SAMEA3946134	ERS1133268	ERR1383328	Plate6.78
PRJEB13747	SAMEA3945705	ERS1132839	ERR1383329	Plate30.70
PRJEB13747	SAMEA3944780	ERS1131914	ERR1383330	Plate16.9
PRJEB13747	SAMEA3943542	ERS1130676	ERR1383331	Plate44.55
PRJEB13747	SAMEA3945361	ERS1132495	ERR1383332	Plate25.76
PRJEB13747	SAMEA3945109	ERS1132243	ERR1383333	Plate21.18
PRJEB13747	SAMEA3943713	ERS1130847	ERR1383334	Plate46.53
PRJEB13747	SAMEA3945029	ERS1132163	ERR1383335	Plate20.25
PRJEB13747	SAMEA3945839	ERS1132973	ERR1383336	Plate31.80
PRJEB13747	SAMEA3943283	ERS1130417	ERR1383337	Plate36.49
PRJEB13747	SAMEA3943780	ERS1130914	ERR1383338	Plate47.19
PRJEB13747	SAMEA3945293	ERS1132427	ERR1383339	Plate24.83
PRJEB13747	SAMEA3946099	ERS1133233	ERR1383340	Plate6.32
PRJEB13747	SAMEA3944542	ERS1131676	ERR1383341	Plate13.92
PRJEB13747	SAMEA3945177	ERS1132311	ERR1383342	Plate23.2
PRJEB13747	SAMEA3943686	ERS1130820	ERR1383343	Plate46.72
PRJEB13747	SAMEA3944330	ERS1131464	ERR1383344	Low2.21
PRJEB13747	SAMEA3944026	ERS1131160	ERR1383345	Plate43.43
PRJEB13747	SAMEA3944592	ERS1131726	ERR1383346	Plate14.24
PRJEB13747	SAMEA3943994	ERS1131128	ERR1383347	Plate41.73
PRJEB13747	SAMEA3945988	ERS1133122	ERR1383348	Plate5.16
PRJEB13747	SAMEA3943365	ERS1130499	ERR1383349	Plate37.5
PRJEB13747	SAMEA3944257	ERS1131391	ERR1383350	Low1.69
PRJEB13747	SAMEA3945001	ERS1132135	ERR1383351	Plate20.72
PRJEB13747	SAMEA3944360	ERS1131494	ERR1383352	Plate10.25
PRJEB13747	SAMEA3945153	ERS1132287	ERR1383353	Plate22.7
PRJEB13747	SAMEA3944384	ERS1131518	ERR1383354	Plate10.86
PRJEB13747	SAMEA3946065	ERS1133199	ERR1383355	Plate5.47
PRJEB13747	SAMEA3943143	ERS1130277	ERR1383356	Plate34.2.50
PRJEB13747	SAMEA3945488	ERS1132622	ERR1383357	Plate27.2
PRJEB13747	SAMEA3945352	ERS1132486	ERR1383358	Plate25.28
PRJEB13747	SAMEA3946204	ERS1133338	ERR1383359	Plate7.3
PRJEB13747	SAMEA3946123	ERS1133257	ERR1383360	Plate6.61
PRJEB13747	SAMEA3943545	ERS1130679	ERR1383361	Plate44.26
PRJEB13747	SAMEA3944068	ERS1131202	ERR1383362	High1.13
PRJEB13747	SAMEA3946261	ERS1133395	ERR1383363	Plate8.34
PRJEB13747	SAMEA3945039	ERS1132173	ERR1383364	Plate20.1
PRJEB13747	SAMEA3944910	ERS1132044	ERR1383365	Plate18.64
PRJEB13747	SAMEA3945076	ERS1132210	ERR1383366	Plate21.29
PRJEB13747	SAMEA3945234	ERS1132368	ERR1383367	Plate23.22
PRJEB13747	SAMEA3945186	ERS1132320	ERR1383368	Plate23.55
PRJEB13747	SAMEA3943694	ERS1130828	ERR1383369	Plate46.70
PRJEB13747	SAMEA3943644	ERS1130778	ERR1383370	Plate45.76
PRJEB13747	SAMEA3944937	ERS1132071	ERR1383371	Plate19.44
PRJEB13747	SAMEA3943560	ERS1130694	ERR1383372	Plate44.1
PRJEB13747	SAMEA3945946	ERS1133080	ERR1383373	Plate33.2
PRJEB13747	SAMEA3945548	ERS1132682	ERR1383374	Plate28.35
PRJEB13747	SAMEA3945668	ERS1132802	ERR1383375	Plate29.3
PRJEB13747	SAMEA3944211	ERS1131345	ERR1383376	Low1.55
PRJEB13747	SAMEA3944970	ERS1132104	ERR1383377	Plate19.95
PRJEB13747	SAMEA3945125	ERS1132259	ERR1383378	Plate22.53
PRJEB13747	SAMEA3943600	ERS1130734	ERR1383379	Plate45.56
PRJEB13747	SAMEA3943574	ERS1130708	ERR1383380	Plate44.54
PRJEB13747	SAMEA3945625	ERS1132759	ERR1383381	Plate29.57
PRJEB13747	SAMEA3943634	ERS1130768	ERR1383382	Plate45.13
PRJEB13747	SAMEA3946071	ERS1133205	ERR1383383	Plate6.31
PRJEB13747	SAMEA3945417	ERS1132551	ERR1383384	Plate26.28
PRJEB13747	SAMEA3944361	ERS1131495	ERR1383385	Plate10.38
PRJEB13747	SAMEA3944847	ERS1131981	ERR1383386	Plate17.80
PRJEB13747	SAMEA3945967	ERS1133101	ERR1383387	Plate34.67
PRJEB13747	SAMEA3945381	ERS1132515	ERR1383388	Plate25.74
PRJEB13747	SAMEA3946139	ERS1133273	ERR1383389	Plate6.36
PRJEB13747	SAMEA3946252	ERS1133386	ERR1383390	Plate8.25
PRJEB13747	SAMEA3944041	ERS1131175	ERR1383391	Plate43.2
PRJEB13747	SAMEA3943669	ERS1130803	ERR1383392	Plate46.44
PRJEB13747	SAMEA3946216	ERS1133350	ERR1383393	Plate7.8
PRJEB13747	SAMEA3946233	ERS1133367	ERR1383394	Plate8.24
PRJEB13747	SAMEA3943341	ERS1130475	ERR1383395	Plate37.31
PRJEB13747	SAMEA3943249	ERS1130383	ERR1383396	Plate35.18
PRJEB13747	SAMEA3944455	ERS1131589	ERR1383397	Plate12.83
PRJEB13747	SAMEA3944839	ERS1131973	ERR1383398	Plate17.77
PRJEB13747	SAMEA3946200	ERS1133334	ERR1383399	Plate7.20
PRJEB13747	SAMEA3944773	ERS1131907	ERR1383400	Plate16.59
PRJEB13747	SAMEA3943942	ERS1131076	ERR1383401	Plate39.40
PRJEB13747	SAMEA3944333	ERS1131467	ERR1383402	Low2.76
PRJEB13747	SAMEA3943374	ERS1130508	ERR1383403	Plate37.21
PRJEB13747	SAMEA3943568	ERS1130702	ERR1383404	Plate44.41
PRJEB13747	SAMEA3944978	ERS1132112	ERR1383405	Plate20.28
PRJEB13747	SAMEA3944500	ERS1131634	ERR1383406	Plate12.64
PRJEB13747	SAMEA3943144	ERS1130278	ERR1383407	Plate34.2.61
PRJEB13747	SAMEA3946082	ERS1133216	ERR1383408	Plate6.63
PRJEB13747	SAMEA3943204	ERS1130338	ERR1383409	Plate35.43
PRJEB13747	SAMEA3944184	ERS1131318	ERR1383410	High2.33
PRJEB13747	SAMEA3944593	ERS1131727	ERR1383411	Plate14.37
PRJEB13747	SAMEA3944055	ERS1131189	ERR1383412	Plate43.18
PRJEB13747	SAMEA3943904	ERS1131038	ERR1383413	Plate39.32
PRJEB13747	SAMEA3945492	ERS1132626	ERR1383414	Plate27.7
PRJEB13747	SAMEA3943950	ERS1131084	ERR1383415	Plate39.30
PRJEB13747	SAMEA3943364	ERS1130498	ERR1383416	Plate37.13
PRJEB13747	SAMEA3945272	ERS1132406	ERR1383417	Plate24.6
PRJEB13747	SAMEA3943830	ERS1130964	ERR1383418	Plate38.67
PRJEB13747	SAMEA3945075	ERS1132209	ERR1383419	Plate21.30
PRJEB13747	SAMEA3945910	ERS1133044	ERR1383420	Plate33.12
PRJEB13747	SAMEA3943253	ERS1130387	ERR1383421	Plate35.22
PRJEB13747	SAMEA3944096	ERS1131230	ERR1383422	High1.28
PRJEB13747	SAMEA3943705	ERS1130839	ERR1383423	Plate46.9
PRJEB13747	SAMEA3945339	ERS1132473	ERR1383424	Plate25.43
PRJEB13747	SAMEA3943804	ERS1130938	ERR1383425	Plate37.44
PRJEB13747	SAMEA3945500	ERS1132634	ERR1383426	Plate27.6
PRJEB13747	SAMEA3944505	ERS1131639	ERR1383427	Plate13.41
PRJEB13747	SAMEA3945638	ERS1132772	ERR1383428	Plate29.49
PRJEB13747	SAMEA3944398	ERS1131532	ERR1383429	Plate10.30
PRJEB13747	SAMEA3943281	ERS1130415	ERR1383430	Plate36.50
PRJEB13747	SAMEA3943598	ERS1130732	ERR1383431	Plate45.28
PRJEB13747	SAMEA3945318	ERS1132452	ERR1383432	Plate25.60
PRJEB13747	SAMEA3944025	ERS1131159	ERR1383433	Plate43.70
PRJEB13747	SAMEA3943941	ERS1131075	ERR1383434	Plate39.53
PRJEB13747	SAMEA3946052	ERS1133186	ERR1383435	Plate5.62
PRJEB13747	SAMEA3945194	ERS1132328	ERR1383436	Plate23.1
PRJEB13747	SAMEA3945662	ERS1132796	ERR1383437	Plate29.85
PRJEB13747	SAMEA3944714	ERS1131848	ERR1383438	Plate15.75
PRJEB13747	SAMEA3945457	ERS1132591	ERR1383439	Plate26.59
PRJEB13747	SAMEA3946246	ERS1133380	ERR1383440	Plate8.60
PRJEB13747	SAMEA3945529	ERS1132663	ERR1383441	Plate28.39
PRJEB13747	SAMEA3943997	ERS1131131	ERR1383442	Plate41.6
PRJEB13747	SAMEA3945945	ERS1133079	ERR1383443	Plate33.41
PRJEB13747	SAMEA3945481	ERS1132615	ERR1383444	Plate27.38
PRJEB13747	SAMEA3944319	ERS1131453	ERR1383445	Low2.4
PRJEB13747	SAMEA3945978	ERS1133112	ERR1383446	Plate34.40
PRJEB13747	SAMEA3944054	ERS1131188	ERR1383447	Plate43.13
PRJEB13747	SAMEA3945377	ERS1132511	ERR1383448	Plate25.84
PRJEB13747	SAMEA3945171	ERS1132305	ERR1383449	Plate23.68
PRJEB13747	SAMEA3946067	ERS1133201	ERR1383450	Plate5.8
PRJEB13747	SAMEA3944273	ERS1131407	ERR1383451	Low2.86
PRJEB13747	SAMEA3946294	ERS1133428	ERR1383452	Plate9.44
PRJEB13747	SAMEA3945650	ERS1132784	ERR1383453	Plate29.89
PRJEB13747	SAMEA3945952	ERS1133086	ERR1383454	Plate34.69
PRJEB13747	SAMEA3943717	ERS1130851	ERR1383455	Plate46.33
PRJEB13747	SAMEA3943772	ERS1130906	ERR1383456	Plate47.58
PRJEB13747	SAMEA3946258	ERS1133392	ERR1383457	Plate8.6
PRJEB13747	SAMEA3943978	ERS1131112	ERR1383458	Plate41.88
PRJEB13747	SAMEA3943961	ERS1131095	ERR1383459	Plate41.35
PRJEB13747	SAMEA3945976	ERS1133110	ERR1383460	Plate34.60
PRJEB13747	SAMEA3943659	ERS1130793	ERR1383461	Plate45.82
PRJEB13747	SAMEA3944725	ERS1131859	ERR1383462	Plate16.49
PRJEB13747	SAMEA3944733	ERS1131867	ERR1383463	Plate16.20
PRJEB13747	SAMEA3945947	ERS1133081	ERR1383464	Plate34.14
PRJEB13747	SAMEA3945277	ERS1132411	ERR1383465	Plate24.40
PRJEB13747	SAMEA3944493	ERS1131627	ERR1383466	Plate12.40
PRJEB13747	SAMEA3945475	ERS1132609	ERR1383467	Plate26.44
PRJEB13747	SAMEA3944525	ERS1131659	ERR1383468	Plate13.42
PRJEB13747	SAMEA3944315	ERS1131449	ERR1383469	Low2.44
PRJEB13747	SAMEA3945502	ERS1132636	ERR1383470	Plate27.27
PRJEB13747	SAMEA3945464	ERS1132598	ERR1383471	Plate26.46
