study_accession	sample_accession	secondary_sample_accession	run_accession	sample_title
PRJEB13747	SAMEA3943466	ERS1130600	ERR1382371	Plate40.75
PRJEB13747	SAMEA3944426	ERS1131560	ERR1382372	Plate11.6
PRJEB13747	SAMEA3946323	ERS1133457	ERR1382373	Plate9.26
PRJEB13747	SAMEA3945224	ERS1132358	ERR1382374	Plate23.92
PRJEB13747	SAMEA3945474	ERS1132608	ERR1382375	Plate26.36
PRJEB13747	SAMEA3946152	ERS1133286	ERR1382376	Plate6.60
PRJEB13747	SAMEA3945320	ERS1132454	ERR1382377	Plate25.58
PRJEB13747	SAMEA3944530	ERS1131664	ERR1382378	Plate13.23
PRJEB13747	SAMEA3943227	ERS1130361	ERR1382379	Plate35.38
PRJEB13747	SAMEA3943897	ERS1131031	ERR1382380	Plate39.43
PRJEB13747	SAMEA3944544	ERS1131678	ERR1382381	Plate13.95
PRJEB13747	SAMEA3944081	ERS1131215	ERR1382382	High1.45
PRJEB13747	SAMEA3945565	ERS1132699	ERR1382383	Plate28.16
PRJEB13747	SAMEA3944891	ERS1132025	ERR1382384	Plate18.56
PRJEB13747	SAMEA3945508	ERS1132642	ERR1382385	Plate27.36
PRJEB13747	SAMEA3944882	ERS1132016	ERR1382386	Plate18.36
PRJEB13747	SAMEA3944372	ERS1131506	ERR1382387	Plate10.8
PRJEB13747	SAMEA3944656	ERS1131790	ERR1382388	Plate15.81
PRJEB13747	SAMEA3943832	ERS1130966	ERR1382389	Plate38.20
PRJEB13747	SAMEA3943716	ERS1130850	ERR1382390	Plate46.21
PRJEB13747	SAMEA3944588	ERS1131722	ERR1382391	Plate14.46
PRJEB13747	SAMEA3944484	ERS1131618	ERR1382392	Plate12.12
PRJEB13747	SAMEA3945465	ERS1132599	ERR1382393	Plate26.45
PRJEB13747	SAMEA3946025	ERS1133159	ERR1382394	Plate5.89
PRJEB13747	SAMEA3944759	ERS1131893	ERR1382395	Plate16.55
PRJEB13747	SAMEA3945018	ERS1132152	ERR1382396	Plate20.54
PRJEB13747	SAMEA3944764	ERS1131898	ERR1382397	Plate16.42
PRJEB13747	SAMEA3946064	ERS1133198	ERR1382398	Plate5.40
PRJEB13747	SAMEA3945127	ERS1132261	ERR1382399	Plate22.30
PRJEB13747	SAMEA3945571	ERS1132705	ERR1382400	Plate28.76
PRJEB13747	SAMEA3943353	ERS1130487	ERR1382401	Plate37.19
PRJEB13747	SAMEA3945087	ERS1132221	ERR1382402	Plate21.59
PRJEB13747	SAMEA3944395	ERS1131529	ERR1382403	Plate10.67
PRJEB13747	SAMEA3945991	ERS1133125	ERR1382404	Plate5.69
PRJEB13747	SAMEA3945547	ERS1132681	ERR1382405	Plate28.34
PRJEB13747	SAMEA3946171	ERS1133305	ERR1382406	Plate7.51
PRJEB13747	SAMEA3943393	ERS1130527	ERR1382407	Plate37.82
PRJEB13747	SAMEA3945846	ERS1132980	ERR1382408	Plate32.17
PRJEB13747	SAMEA3945350	ERS1132484	ERR1382409	Plate25.87
PRJEB13747	SAMEA3944056	ERS1131190	ERR1382410	Plate43.26
PRJEB13747	SAMEA3944893	ERS1132027	ERR1382411	Plate18.89
PRJEB13747	SAMEA3944890	ERS1132024	ERR1382412	Plate18.24
PRJEB13747	SAMEA3946047	ERS1133181	ERR1382413	Plate5.68
PRJEB13747	SAMEA3944605	ERS1131739	ERR1382414	Plate14.39
PRJEB13747	SAMEA3945816	ERS1132950	ERR1382415	Plate31.77
PRJEB13747	SAMEA3945065	ERS1132199	ERR1382416	Plate21.23
PRJEB13747	SAMEA3944285	ERS1131419	ERR1382417	Low2.12
PRJEB13747	SAMEA3946276	ERS1133410	ERR1382418	Plate8.48
PRJEB13747	SAMEA3943282	ERS1130416	ERR1382419	Plate36.55
PRJEB13747	SAMEA3945037	ERS1132171	ERR1382420	Plate20.95
PRJEB13747	SAMEA3943645	ERS1130779	ERR1382421	Plate45.7
PRJEB13747	SAMEA3946000	ERS1133134	ERR1382422	Plate5.13
